timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1769132662960,96,GET - Traffic History by ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-13,text,false,,2632,0,8,8,http://76.13.18.72:8000/api/traffic-history/2000046,0,0,31
1769132663056,113,GET - Average Speed,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-9,text,false,,2632,0,8,8,http://76.13.18.72:8000/api/average-speed,0,0,32
1769132663056,113,GET - Average Speed,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-13,text,false,,2632,0,8,8,http://76.13.18.72:8000/api/average-speed,0,0,32
1769132663055,114,GET - Average Speed,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-10,text,false,,2632,0,8,8,http://76.13.18.72:8000/api/average-speed,0,0,33
1769132662962,207,GET - Traffic History by ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-14,text,false,,2632,0,8,8,http://76.13.18.72:8000/api/traffic-history/2000046,0,0,30
1769132662961,208,GET - Traffic History by ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-12,text,false,,2632,0,8,8,http://76.13.18.72:8000/api/traffic-history/2000046,0,0,30
1769132662960,209,GET - Traffic History,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-8,text,false,,2632,0,8,8,http://76.13.18.72:8000/api/traffic-history,0,0,31
1769132662959,210,GET - Traffic History by ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-11,text,false,,2632,0,8,8,http://76.13.18.72:8000/api/traffic-history/2000046,0,0,32
1769132662978,191,GET - Traffic Classification,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-15,text,false,,2632,0,8,8,http://76.13.18.72:8000/api/traffic-classification,0,0,26
1769132663171,177,GET - Average Speed,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-12,text,false,,2632,0,8,8,http://76.13.18.72:8000/api/average-speed,0,0,48
